player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Esmir Bajraktarević,Bosnia and Herzegovina,esmir bajraktarevic,1,0.85,0,0,1,2025-11-15,36,1.0,0.027777777777777776,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Hannibal Mejbri,Tunisia,hannibal mejbri,1,0.85,0,0,1,2025-10-13,49,1.0,0.02040816326530612,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Haris Hajradinović,Bosnia and Herzegovina,haris hajradinovic,1,0.85,0,0,1,2025-03-24,36,1.0,0.027777777777777776,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Ezri Konsa,England,ezri konsa,1,0.85,0,0,1,2025-09-09,44,1.0,0.022727272727272728,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Khuliso Mudau,South Africa,khuliso mudau,1,0.85,0,0,1,2023-11-18,52,1.0,0.019230769230769232,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Estêvão Willian,Brazil,estevao willian,1,0.85,0,0,1,2025-09-04,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Connor Metcalfe,Australia,connor metcalfe,1,0.85,0,0,1,2025-06-10,41,1.0,0.024390243902439025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Callum Wilson,England,callum wilson,1,0.85,1,0,1,2023-06-16,44,1.0,0.022727272727272728,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Christian Kouamé,Ivory Coast,christian kouame,1,0.85,0,0,1,2023-11-20,47,1.0,0.02127659574468085,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Charles Pickel,Congo DR,charles pickel,1,0.85,0,0,1,2025-03-25,48,1.0,0.020833333333333332,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Cyle Larin,Canada,cyle larin,1,0.85,0,0,1,2024-03-23,46,1.0,0.021739130434782608,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Gustaf Lagerbielke,Sweden,gustaf lagerbielke,1,0.85,0,0,1,2026-03-31,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Gustav Lundgren,Sweden,gustav lundgren,1,0.85,0,0,1,2025-11-18,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Ferdi Kadıoğlu,Türkiye,ferdi kadoglu,1,0.85,0,0,1,2026-03-26,42,1.0,0.023809523809523808,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Bryan Labissiere,Haiti,bryan labissiere,1,0.85,0,0,1,2024-06-09,37,1.0,0.02702702702702703,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Giuliano Simeone,Argentina,giuliano simeone,1,0.85,0,0,1,2025-03-25,42,1.0,0.023809523809523808,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Gabriel Martinelli,Brazil,gabriel martinelli,1,0.85,0,0,1,2023-11-16,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Gabriel Magalhães,Brazil,gabriel magalhaes,1,0.85,0,0,1,2023-10-12,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Fredrik Aursnes,Norway,fredrik aursnes,1,0.85,0,0,1,2023-10-12,37,1.0,0.02702702702702703,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Francis de Vries,New Zealand,francis de vries,1,0.85,0,0,1,2024-11-18,36,1.0,0.027777777777777776,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Florian Thauvin,France,florian thauvin,1,0.85,0,0,1,2025-10-10,43,1.0,0.023255813953488372,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Florian Kainz,Austria,florian kainz,1,0.85,0,0,1,2023-03-27,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Firas Ben Larbi,Tunisia,firas ben larbi,1,0.85,0,0,1,2023-11-17,49,1.0,0.02040816326530612,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Daizen Maeda,Japan,daizen maeda,1,0.85,0,0,1,2024-09-05,41,1.0,0.024390243902439025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Federico Viñas,Uruguay,federico vinas,1,0.85,0,0,1,2025-09-04,42,1.0,0.023809523809523808,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Callum McGregor,Scotland,callum mcgregor,1,0.85,0,0,1,2023-06-20,40,1.0,0.025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Kaoru Mitoma,Japan,kaoru mitoma,1,0.85,0,0,1,2024-09-05,41,1.0,0.024390243902439025,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
Chadi Riad,Morocco,chadi riad,1,0.85,0,0,1,2024-06-11,54,1.0,0.018518518518518517,,,,,78.0,,0.1275,0.31875,0.255,0.12695824235807862,2026
